groep,Bier,Fris,Pul fris,Pul bier,Pitcher bier,Safari,Goldstrike,Amaretto Disaronno,Apfelkorn,Jaegermeister,Likeur 43,De Kuyper Peachtree,Rum Bacardi Razz,Mede honingwijn
Nobel,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Krat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bestuur 122,0,60,0,0,0,0,0,0,0,0,0,0,0,0
Spetter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quast,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Octopus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McClan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurk,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schranz,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kielzog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorpios,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabula,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDC 66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
